"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","3","399-8004-1-ND","C0805C105K3RACTU","CAP CER 1UF 25V X7R 0805","","3","0","0.15000","0.45"
"2","13","399-7845-1-ND","C0603C104M5RACTU","CAP CER 0.1UF 50V X7R 0603","","13","0","0.03900","0.51"
"3","3","490-10503-1-ND","GRM21BC81E106ME51L","CAP CER 10UF 25V X6S 0805","","3","0","0.37000","1.11"
"4","34","490-10918-1-ND","GRJ21BC72A105KE11L","CAP CER 1UF 100V X7S 0805","","34","0","0.35300","12.00"
"5","10","DDZ15-7DICT-ND","DDZ15-7","DIODE ZENER 15V 500MW SOD123","","10","0","0.19500","1.95"
"6","4","FSV20100VCT-ND","FSV20100V","DIODE SCHOTTKY 100V 20A TO277-3","","4","0","0.84000","3.36"
"7","10","478-7802-1-ND","SD0805S040S0R5","DIODE SCHOTTKY 40V 500MA 0805","","10","0","0.32300","3.23"
"8","3","1727-2230-1-ND","BUK9880-55A/CUX","MOSFET N-CH 55V 7A SOT223","","3","0","0.45000","1.35"
"9","1","620-1817-1-ND","ACS780LLRTR-050B-T","HIGH-PRECISION LINEAR HALL-EFFEC","","1","0","5.27000","5.27"
"10","1","FAN3111ESXCT-ND","FAN3111ESX","IC GATE DRVR LOW-SIDE SOT23-5","","0","1","0.84000","0.84"
"11","1","516-1789-1-ND","HCPL-3120-500E","OPTOISO 3.75KV GATE DRVR 8DIP GW","","1","0","3.25000","3.25"
"12","1","160-1893-1-ND","LTV-817S-TA1","OPTOISOLATR 5KV TRANSISTOR 4-SMD","","1","0","0.47000","0.47"
"13","1","DSPIC30F301130IPT-ND","DSPIC30F3011-30I/PT","IC MCU 16BIT 24KB FLASH 44TQFP","","1","0","4.90000","4.90"
"14","1","LM62CIM3/NOPBCT-ND","LM62CIM3/NOPB","SENSOR ANALOG 0C-90C SOT23-3","","1","0","1.24000","1.24"
"15","1","IR2104SPBFCT-ND","IR2104STRPBF","IC GATE DRVR HALF-BRIDGE 8SOIC","","1","0","1.62000","1.62"
"16","4","1727-7125-1-ND","PSMN5R6-100BS,118","MOSFET N-CH 100V 100A D2PAK","","4","0","2.69000","10.76"
"17","1","P200KDBCT-ND","ERA-3AEB204V","RES SMD 200K OHM 0.1% 1/10W 0603","","1","0","0.34000","0.34"
"18","10","749-1755-1-ND","MCT06030C5100FP500","RES 510 OHM 1% 1/8W 0603","","10","0","0.14500","1.45"
"19","1","P16KDBCT-ND","ERA-3AEB163V","RES SMD 16K OHM 0.1% 1/10W 0603","","1","0","0.34000","0.34"
"20","13","311-1.0KGRCT-ND","RC0603JR-071KL","RES SMD 1K OHM 5% 1/10W 0603","","13","0","0.01900","0.25"
"21","6","738-CSS0603FT3L00CT-ND","CSS0603FT3L00","RES SHUNT, 0603, 0.003 OHM, 1%,","","6","0","0.54000","3.24"
"22","1","311-8.06KHRCT-ND","RC0603FR-078K06L","RES SMD 8.06K OHM 1% 1/10W 0603","","1","0","0.10000","0.10"
"23","13","311-10.0KHRCT-ND","RC0603FR-0710KL","RES SMD 10K OHM 1% 1/10W 0603","","13","0","0.02300","0.30"
"24","1","FDN340PCT-ND","FDN340P","MOSFET P-CH 20V 2A SSOT3","","1","0","0.47000","0.47"
"25","2","732-5519-1-ND","74404054100","FIXED IND 10UH 2.1A 64 MOHM SMD","","2","0","1.12000","2.24"
"26","2","535-14295-1-ND","ASPIAIG-F1040-R15N-T","FIXED IND 0.15UH 43A 0.6MOHM AEC","","2","0","1.63000","3.26"
"27","1","DMN65D8L-7DICT-ND","DMN65D8L-7","MOSFET N-CH 60V 310MA SOT23","","1","0","0.17000","0.17"
"28","1","497-1170-1-ND","L7805ABD2T-TR","IC REG LINEAR 5V 1.5A D2PAK","","1","0","0.66000","0.66"
"29","2","511-1578-1-ND","SML-D12M8WT86","LED GREEN DIFFUSED 0603 SMD","","2","0","0.31000","0.62"
"30","1","160-1837-1-ND","LTST-C194TBKT","LED BLUE CLEAR SMD","","1","0","0.42000","0.42"
"31","1","516-1421-1-ND","HSMC-C190","LED RED DIFFUSED CHIP SMD","","1","0","0.55000","0.55"
"32","3","160-1445-1-ND","LTST-C191KFKT","LED ORANGE CLEAR SMD","","3","0","0.24000","0.72"
"33","13","445-C3225X7R1N106K250ACCT-ND","C3225X7R1N106K250AC","COMMERCIAL GRADE GENERAL PURPOSE","","13","0","0.83500","10.86"